
Information about map: EDT                 
==================================

Map name (internal)     : EDT000
Sounding set (internal) : 0
RS-Number               : H2813641
Data record length      : 40 bytes
Number of data records  : 2541
Max filemap size        : 2541 bytes
Data header size        : 12504 bytes
Free space in map       : -111603 bytes (107371392 records)
Status flag (not used)  : 1


   Record name:    Unit:           Data type:          Divisor: Offset:
   ---------------------------------------------------------------------
    time            sec             float (4)          1        0       
    Pscl            ln              short (2)          1        0       
    T               K               short (2)          10       0       
    RH              %               short (2)          1        0       
    v               m/s             short (2)          -100     0       
    u               m/s             short (2)          -100     0       
    Height          m               short (2)          1        30000   
    P               hPa             short (2)          10       0       
    TD              K               short (2)          10       0       
    MR              g/kg            short (2)          100      0       
    DD              dgr             short (2)          1        0       
    FF              m/s             short (2)          10       0       
    AZ              dgr             short (2)          1        0       
    Range           m               short (2)          0.01     0       
    Lon             dgr             short (2)          100      0       
    Lat             dgr             short (2)          100      0       
    SpuKey          bitfield        unsigned short (2) 1        0       
    UsrKey          bitfield        unsigned short (2) 1        0       
    RadarH          m               short (2)          1        30000   

*************************************************************************************************

   108.00	 28009.00	   292.70	    30.00	     8.63	     0.28	   737.00	   932.60	   274.80	     4.62	   182.00	     8.60	     7.00	  1000.00	   -89.41	    43.08	     0.00	     0.00	-32768.00	
   110.00	 28006.00	   292.70	    31.00	     8.59	     0.14	   744.00	   932.00	   275.00	     4.67	   181.00	     8.60	     7.00	  1000.00	   -89.41	    43.08	     0.00	     0.00	-32768.00	
   112.00	 28003.00	   292.70	    31.00	     8.55	     0.01	   750.00	   931.30	   275.20	     4.74	   180.00	     8.60	     7.00	  1000.00	   -89.41	    43.08	     0.00	     0.00	-32768.00	
   114.00	 28000.00	   292.70	    31.00	     8.53	    -0.10	   756.00	   930.60	   275.30	     4.79	   179.00	     8.50	     7.00	  1000.00	   -89.41	    43.08	     0.00	     0.00	-32768.00	
   116.00	 27997.00	   292.60	    32.00	     8.50	    -0.21	   762.00	   930.00	   275.40	     4.83	   179.00	     8.50	     7.00	  1100.00	   -89.41	    43.08	     0.00	     0.00	-32768.00	
   118.00	 27994.00	   292.60	    32.00	     8.47	    -0.30	   769.00	   929.30	   275.60	     4.89	   178.00	     8.50	     7.00	  1100.00	   -89.41	    43.08	     0.00	     0.00	-32768.00	
   120.00	 27991.00	   292.60	    32.00	     8.44	    -0.37	   775.00	   928.60	   275.70	     4.92	   177.00	     8.50	     6.00	  1100.00	   -89.41	    43.08	     0.00	     0.00	-32768.00	
   122.00	 27987.00	   292.60	    32.00	     8.41	    -0.43	   782.00	   927.80	   275.50	     4.88	   177.00	     8.40	     6.00	  1100.00	   -89.41	    43.08	     0.00	     0.00	-32768.00	
   124.00	 27984.00	   292.50	    32.00	     8.37	    -0.47	   790.00	   927.00	   275.40	     4.84	   177.00	     8.40	     6.00	  1100.00	   -89.41	    43.08	     0.00	     0.00	-32768.00	
   126.00	 27980.00	   292.50	    32.00	     8.32	    -0.49	   797.00	   926.20	   275.30	     4.82	   177.00	     8.30	     6.00	  1100.00	   -89.41	    43.08	     0.00	     0.00	-32768.00	
   128.00	 27977.00	   292.40	    32.00	     8.27	    -0.50	   804.00	   925.40	   275.30	     4.82	   177.00	     8.30	     6.00	  1200.00	   -89.41	    43.08	     0.00	     0.00	-32768.00	
   130.00	 27973.00	   292.30	    32.00	     8.22	    -0.49	   813.00	   924.50	   275.30	     4.83	   177.00	     8.20	     6.00	  1200.00	   -89.41	    43.08	     0.00	     0.00	-32768.00	
   132.00	 27969.00	   292.30	    32.00	     8.16	    -0.48	   821.00	   923.60	   275.30	     4.82	   177.00	     8.20	     6.00	  1200.00	   -89.41	    43.08	     0.00	     0.00	-32768.00	
   134.00	 27965.00	   292.20	    32.00	     8.10	    -0.45	   828.00	   922.80	   275.30	     4.81	   177.00	     8.10	     6.00	  1200.00	   -89.41	    43.08	     0.00	     0.00	-32768.00	
   136.00	 27962.00	   292.20	    32.00	     8.05	    -0.41	   835.00	   922.10	   275.30	     4.82	   177.00	     8.10	     5.00	  1200.00	   -89.41	    43.08	     0.00	     0.00	-32768.00	
   138.00	 27959.00	   292.10	    32.00	     8.00	    -0.36	   842.00	   921.30	   275.20	     4.80	   177.00	     8.00	     5.00	  1200.00	   -89.41	    43.08	     0.00	     0.00	-32768.00	
   140.00	 27955.00	   292.00	    32.00	     7.97	    -0.32	   850.00	   920.50	   275.20	     4.78	   178.00	     8.00	     5.00	  1300.00	   -89.41	    43.08	     0.00	     0.00	-32768.00	
   142.00	 27952.00	   292.00	    32.00	     7.95	    -0.26	   857.00	   919.80	   275.10	     4.77	   178.00	     8.00	     5.00	  1300.00	   -89.41	    43.08	     0.00	     0.00	-32768.00	
   144.00	 27948.00	   291.90	    32.00	     7.94	    -0.20	   864.00	   919.00	   275.10	     4.78	   179.00	     7.90	     5.00	  1300.00	   -89.41	    43.08	     0.00	     0.00	-32768.00	
   146.00	 27944.00	   291.80	    33.00	     7.95	    -0.14	   873.00	   918.00	   275.10	     4.79	   179.00	     7.90	     5.00	  1300.00	   -89.41	    43.08	     0.00	     0.00	-32768.00	
   148.00	 27939.00	   291.70	    33.00	     7.97	    -0.06	   883.00	   917.00	   275.00	     4.76	   180.00	     8.00	     5.00	  1300.00	   -89.41	    43.08	     0.00	     0.00	-32768.00	
   150.00	 27936.00	   291.60	    33.00	     8.00	     0.01	   889.00	   916.30	   275.00	     4.73	   180.00	     8.00	     5.00	  1300.00	   -89.41	    43.08	     0.00	     0.00	-32768.00	
   152.00	 27933.00	   291.60	    33.00	     8.05	     0.10	   895.00	   915.60	   274.90	     4.72	   181.00	     8.00	     5.00	  1400.00	   -89.41	    43.08	     0.00	     0.00	-32768.00	
   154.00	 27930.00	   291.50	    33.00	     8.10	     0.19	   902.00	   914.90	   274.90	     4.72	   181.00	     8.10	     5.00	  1400.00	   -89.41	    43.08	     0.00	     0.00	-32768.00	
   156.00	 27926.00	   291.50	    33.00	     8.15	     0.29	   910.00	   914.10	   275.00	     4.76	   182.00	     8.20	     5.00	  1400.00	   -89.41	    43.08	     0.00	     0.00	-32768.00	
   158.00	 27922.00	   291.40	    33.00	     8.20	     0.39	   919.00	   913.10	   275.10	     4.79	   183.00	     8.20	     5.00	  1400.00	   -89.41	    43.08	     0.00	     0.00	-32768.00	
   160.00	 27918.00	   291.30	    34.00	     8.25	     0.49	   927.00	   912.20	   275.00	     4.78	   183.00	     8.30	     5.00	  1400.00	   -89.41	    43.08	     0.00	     0.00	-32768.00	
   162.00	 27913.00	   291.20	    34.00	     8.29	     0.59	   937.00	   911.20	   275.00	     4.77	   184.00	     8.30	     5.00	  1400.00	   -89.41	    43.08	     0.00	     0.00	-32768.00	
   164.00	 27909.00	   291.10	    34.00	     8.32	     0.68	   946.00	   910.30	   274.90	     4.74	   185.00	     8.30	     5.00	  1500.00	   -89.41	    43.08	     0.00	     0.00	-32768.00	
